STUDENT NO.,T1,T2,T3,Q1,Q2,Q3,Best Quiz,SM
202385951,20,34,,6,8,8,8,"56,6"
202386085,29,31,,10,6,6,10,64
202386199,30,46,,4,6,8,8,"76,4"
202387541,19,26,38,10,10,,10,"59,8"
202392395,22,14,22,8,6,,8,"42,8"
202394706,38,"41,5",,10,8,,10,"81,55"
202394788,,,,6,,,6,6
202394847,12,8,,0,6,10,10,28
202394948,24,36,,8,8,,8,62
202396133,23,"30,5",,10,6,10,10,"58,15"
202397033,29,42,,6,8,10,10,"73,9"
202397739,43,42,,4,4,8,8,"84,5"
202398006,14,31,31,10,6,,10,"55,6"
202399018,44,49,,10,6,,10,"93,7"
202399748,32,37,,8,6,,8,"70,1"
202400015,45,32,,4,8,8,8,"77,3"
202400955,38,47,,4,4,8,8,"84,5"
202401145,14,29,,0,6,8,8,"46,7"
202401426,25,23,,8,6,6,8,"51,2"
202401862,31,,24,10,8,,10,"59,5"
202404677,37,"39,5",,10,8,,10,"78,85"
202408933,41,51,,8,8,8,8,"90,8"
202410352,25,47,,10,6,,10,"74,8"
202411144,36,33,,8,6,6,8,"70,1"
202411201,26,"23,5",,8,6,,8,"52,55"
202411849,30,26,,0,8,6,8,"58,4"
202412232,36,31,,8,4,8,8,"68,3"
202414857,24,23,,6,6,,6,"48,3"
202415417,32,46,,10,8,10,10,"80,2"
202415489,44,41,,8,8,,8,"84,5"
202416826,36,43,,4,6,,6,"77,1"
